HS 3.0/8.0B
1.00000 0.00000
0.99726 0.00030
0.98907 0.00121
0.97553 0.00271
0.95677 0.00476
0.93301 0.00734
0.90451 0.01042
0.87157 0.01400
0.83457 0.01804
0.79389 0.02248
0.75000 0.02724
0.70337 0.03226
0.65451 0.03747
0.60396 0.04292
0.55226 0.04864
0.50000 0.05434
0.44774 0.05959
0.39604 0.06413
0.34549 0.06767
0.29663 0.06962
0.25000 0.06966
0.20611 0.06795
0.16543 0.06400
0.12843 0.05807
0.09549 0.05085
0.06699 0.04259
0.04323 0.03374
0.02447 0.02476
0.01093 0.01549
0.00274 0.00678
0.00000 0.00000
0.00274 -0.00314
0.01093 -0.00651
0.02447 -0.00863
0.04323 -0.00941
0.06699 -0.00967
0.09549 -0.00961
0.12843 -0.00936
0.16543 -0.00916
0.20611 -0.00924
0.25000 -0.00966
0.29663 -0.01038
0.34549 -0.01139
0.39604 -0.01249
0.44774 -0.01347
0.50000 -0.01426
0.55226 -0.01480
0.60396 -0.01507
0.65451 -0.01500
0.70337 -0.01452
0.75000 -0.01363
0.79389 -0.01248
0.83457 -0.01117
0.87157 -0.00979
0.90451 -0.00829
0.93301 -0.00653
0.95677 -0.00461
0.97553 -0.00272
0.98907 -0.00123
0.99726 -0.00031
1.00000 0.00000
