alpha,CD,CL
-5,0.1032593798,0.2026900882
-4,0.09239205643,0.2855278697
-3,0.08485912385,0.3915502863
-2,0.07826372207,0.5257681434
-1,0.07434640249,0.6484423007
0,0.07544565438,0.7738804664
1,0.08063844265,0.8803144151
2,0.08901121437,0.978515599
3,0.09944614771,1.072885638
4,0.1116073158,1.161931191
5,0.1223728518,1.246033897
6,0.1338609737,1.316049074
7,0.1501444579,1.394076465
8,0.1675413439,1.45615293
9,0.181175348,1.541873905
10,0.203459619,1.589012819
11,0.2229882621,1.659686654
12,0.2434839908,1.715150002
13,0.261886625,1.769362756
14,0.2861731457,1.809274334
15,0.3061462979,1.849935048
