alpha,CD,CL
-5,0.08977676083,0.3266757254
-4,0.08268912182,0.4132308322
-3,0.07624581363,0.5193306404
-2,0.07366849035,0.6247861179
-1,0.07409804423,0.7332484725
0,0.07603103669,0.827750326
1,0.0798970216,0.9299841493
2,0.08762899144,1.040164719
3,0.09664962291,1.138103004
4,0.1065293621,1.236685619
5,0.1179125399,1.332046581
6,0.1305843794,1.424185888
7,0.1443301035,1.51245921
8,0.1602235971,1.59879954
9,0.1767614214,1.678267008
10,0.1952322383,1.757090144
11,0.214132609,1.829469973
12,0.2330329797,1.886815416
13,0.2525776812,1.936643666
14,0.2725519366,1.980243385
15,0.2957478461,2.025776096
