sref,cref,bref,tipChord,leadingEdgeX,transitionEndY,fuselageLength,fuselageEndY,taperRatio,transitionWidth,transitionSetbackRatio
2765.2524,24.0131,119.4,19.2,4.8,7.7157,36,4.7157,0.8,3,0.4
2782.0058,24.4578,119.4,19.2,6.4,6.8197,40,3.8197,0.8,3,0.4
2794.8645,24.8767,119.4,19.2,8,6.1568,44,3.1568,0.8,3,0.4
2805.4965,25.2816,119.4,19.2,9.6,5.6526,48,2.6526,0.8,3,0.4
2814.8596,25.6805,119.4,19.2,11.2,5.2602,52,2.2602,0.8,3,0.4
2515.7278,22.5861,119.4,14.4,4.8,7.7157,36,4.7157,0.6,3,0.4
2528.1805,23.0581,119.4,14.4,6.4,6.8197,40,3.8197,0.6,3,0.4
2537.8571,23.5072,119.4,14.4,8,6.1568,44,3.1568,0.6,3,0.4
2546.0689,23.9449,119.4,14.4,9.6,5.6526,48,2.6526,0.6,3,0.4
2553.5486,24.3789,119.4,14.4,11.2,5.2602,52,2.2602,0.6,3,0.4
2266.2032,21.5496,119.4,9.6,4.8,7.7157,36,4.7157,0.4,3,0.4
2274.3552,22.0601,119.4,9.6,6.4,6.8197,40,3.8197,0.4,3,0.4
2280.8497,22.5502,119.4,9.6,8,6.1568,44,3.1568,0.4,3,0.4
2286.6414,23.031,119.4,9.6,9.6,5.6526,48,2.6526,0.4,3,0.4
2292.2375,23.5101,119.4,9.6,11.2,5.2602,52,2.2602,0.4,3,0.4
2016.6786,21.0484,119.4,4.8,4.8,7.7157,36,4.7157,0.2,3,0.4
2020.5299,21.6154,119.4,4.8,6.4,6.8197,40,3.8197,0.2,3,0.4
2023.8424,22.1629,119.4,4.8,8,6.1568,44,3.1568,0.2,3,0.4
2027.2138,22.7023,119.4,4.8,9.6,5.6526,48,2.6526,0.2,3,0.4
2030.9264,23.2412,119.4,4.8,11.2,5.2602,52,2.2602,0.2,3,0.4
2790.4524,24.2731,119.4,19.2,4.8,9.2157,36,4.7157,0.8,4.5,0.4
2813.2058,24.8017,119.4,19.2,6.4,8.3197,40,3.8197,0.8,4.5,0.4
2832.0645,25.3135,119.4,19.2,8,7.6568,44,3.1568,0.8,4.5,0.4
2848.6965,25.8202,119.4,19.2,9.6,7.1526,48,2.6526,0.8,4.5,0.4
2864.0596,26.3296,119.4,19.2,11.2,6.7602,52,2.2602,0.8,4.5,0.4
