sref,cref,bref,tipChord,leadingEdgeX,taperStartY,transitionEndY,fuselageLength,fuselageEndY,taperRatio,taperPositionRatio,transitionWidth,transitionSetbackRatio
1.9128,0.6455,3.0328,0.4877,0.1219,1.2523,0.196,0.9144,0.1198,0.8,0.8,0.0762,0.4
1.9259,0.6564,3.0328,0.4877,0.1626,1.2478,0.1732,1.016,0.097,0.8,0.8,0.0762,0.4
1.9358,0.6665,3.0328,0.4877,0.2032,1.2444,0.1564,1.1176,0.0802,0.8,0.8,0.0762,0.4
1.9439,0.6763,3.0328,0.4877,0.2438,1.2418,0.1436,1.2192,0.0674,0.8,0.8,0.0762,0.4
1.9509,0.6859,3.0328,0.4877,0.2845,1.2398,0.1336,1.3208,0.0574,0.8,0.8,0.0762,0.4
1.8806,0.6371,3.0328,0.4877,0.1219,0.9882,0.196,0.9144,0.1198,0.8,0.6,0.0762,0.4
1.8931,0.648,3.0328,0.4877,0.1626,0.9791,0.1732,1.016,0.097,0.8,0.6,0.0762,0.4
1.9026,0.6583,3.0328,0.4877,0.2032,0.9724,0.1564,1.1176,0.0802,0.8,0.6,0.0762,0.4
1.9104,0.6682,3.0328,0.4877,0.2438,0.9673,0.1436,1.2192,0.0674,0.8,0.6,0.0762,0.4
1.9172,0.6779,3.0328,0.4877,0.2845,0.9633,0.1336,1.3208,0.0574,0.8,0.6,0.0762,0.4
1.8484,0.6283,3.0328,0.4877,0.1219,0.7241,0.196,0.9144,0.1198,0.8,0.4,0.0762,0.4
1.8603,0.6394,3.0328,0.4877,0.1626,0.7105,0.1732,1.016,0.097,0.8,0.4,0.0762,0.4
1.8695,0.6498,3.0328,0.4877,0.2032,0.7004,0.1564,1.1176,0.0802,0.8,0.4,0.0762,0.4
1.877,0.6598,3.0328,0.4877,0.2438,0.6927,0.1436,1.2192,0.0674,0.8,0.4,0.0762,0.4
1.8835,0.6697,3.0328,0.4877,0.2845,0.6867,0.1336,1.3208,0.0574,0.8,0.4,0.0762,0.4
1.8162,0.6193,3.0328,0.4877,0.1219,0.4601,0.196,0.9144,0.1198,0.8,0.2,0.0762,0.4
1.8276,0.6305,3.0328,0.4877,0.1626,0.4419,0.1732,1.016,0.097,0.8,0.2,0.0762,0.4
1.8363,0.641,3.0328,0.4877,0.2032,0.4284,0.1564,1.1176,0.0802,0.8,0.2,0.0762,0.4
1.8435,0.6512,3.0328,0.4877,0.2438,0.4181,0.1436,1.2192,0.0674,0.8,0.2,0.0762,0.4
1.8498,0.6611,3.0328,0.4877,0.2845,0.4102,0.1336,1.3208,0.0574,0.8,0.2,0.0762,0.4
1.8806,0.6398,3.0328,0.3658,0.1219,1.2523,0.196,0.9144,0.1198,0.6,0.8,0.0762,0.4
1.8931,0.6509,3.0328,0.3658,0.1626,1.2478,0.1732,1.016,0.097,0.6,0.8,0.0762,0.4
1.9026,0.6612,3.0328,0.3658,0.2032,1.2444,0.1564,1.1176,0.0802,0.6,0.8,0.0762,0.4
1.9104,0.6711,3.0328,0.3658,0.2438,1.2418,0.1436,1.2192,0.0674,0.6,0.8,0.0762,0.4
1.9172,0.6808,3.0328,0.3658,0.2845,1.2398,0.1336,1.3208,0.0574,0.6,0.8,0.0762,0.4
1.8162,0.6251,3.0328,0.3658,0.1219,0.9882,0.196,0.9144,0.1198,0.6,0.6,0.0762,0.4
1.8276,0.6363,3.0328,0.3658,0.1626,0.9791,0.1732,1.016,0.097,0.6,0.6,0.0762,0.4
1.8363,0.6469,3.0328,0.3658,0.2032,0.9724,0.1564,1.1176,0.0802,0.6,0.6,0.0762,0.4
1.8435,0.6571,3.0328,0.3658,0.2438,0.9673,0.1436,1.2192,0.0674,0.6,0.6,0.0762,0.4
1.8498,0.6671,3.0328,0.3658,0.2845,0.9633,0.1336,1.3208,0.0574,0.6,0.6,0.0762,0.4
1.7518,0.6092,3.0328,0.3658,0.1219,0.7241,0.196,0.9144,0.1198,0.6,0.4,0.0762,0.4
1.7621,0.6207,3.0328,0.3658,0.1626,0.7105,0.1732,1.016,0.097,0.6,0.4,0.0762,0.4
1.77,0.6315,3.0328,0.3658,0.2032,0.7004,0.1564,1.1176,0.0802,0.6,0.4,0.0762,0.4
1.7765,0.642,3.0328,0.3658,0.2438,0.6927,0.1436,1.2192,0.0674,0.6,0.4,0.0762,0.4
1.7823,0.6523,3.0328,0.3658,0.2845,0.6867,0.1336,1.3208,0.0574,0.6,0.4,0.0762,0.4
1.6874,0.5921,3.0328,0.3658,0.1219,0.4601,0.196,0.9144,0.1198,0.6,0.2,0.0762,0.4
1.6966,0.6039,3.0328,0.3658,0.1626,0.4419,0.1732,1.016,0.097,0.6,0.2,0.0762,0.4
1.7037,0.615,3.0328,0.3658,0.2032,0.4284,0.1564,1.1176,0.0802,0.6,0.2,0.0762,0.4
1.7096,0.6258,3.0328,0.3658,0.2438,0.4181,0.1436,1.2192,0.0674,0.6,0.2,0.0762,0.4
1.7149,0.6364,3.0328,0.3658,0.2845,0.4102,0.1336,1.3208,0.0574,0.6,0.2,0.0762,0.4
