leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
18,21.6,69.1119,22.6058,11.3029,0.6,0,4,48,0.45
21,21.6,72.1119,22.6058,11.3029,0.7,0,4,48,0.45
24,21.6,75.1119,22.6058,11.3029,0.8,0,4,48,0.45
27,21.6,78.1119,22.6058,11.3029,0.9,0,4,48,0.45
30,21.6,81.1119,22.6058,11.3029,1,0,4,48,0.45
18,22.1844,69.1119,22.6058,11.3029,0.6,0.25,4,48,0.45
21,22.9344,72.1119,22.6058,11.3029,0.7,0.25,4,48,0.45
24,23.6844,75.1119,22.6058,11.3029,0.8,0.25,4,48,0.45
27,24.4344,78.1119,22.6058,11.3029,0.9,0.25,4,48,0.45
30,25.1844,81.1119,22.6058,11.3029,1,0.25,4,48,0.45
18,22.7688,69.1119,22.6058,11.3029,0.6,0.5,4,48,0.45
21,24.2688,72.1119,22.6058,11.3029,0.7,0.5,4,48,0.45
24,25.7688,75.1119,22.6058,11.3029,0.8,0.5,4,48,0.45
27,27.2688,78.1119,22.6058,11.3029,0.9,0.5,4,48,0.45
30,28.7688,81.1119,22.6058,11.3029,1,0.5,4,48,0.45
18,23.3533,69.1119,22.6058,11.3029,0.6,0.75,4,48,0.45
21,25.6033,72.1119,22.6058,11.3029,0.7,0.75,4,48,0.45
24,27.8533,75.1119,22.6058,11.3029,0.8,0.75,4,48,0.45
27,30.1033,78.1119,22.6058,11.3029,0.9,0.75,4,48,0.45
30,32.3533,81.1119,22.6058,11.3029,1,0.75,4,48,0.45
18,23.9377,69.1119,22.6058,11.3029,0.6,1,4,48,0.45
21,26.9377,72.1119,22.6058,11.3029,0.7,1,4,48,0.45
24,29.9377,75.1119,22.6058,11.3029,0.8,1,4,48,0.45
27,32.9377,78.1119,22.6058,11.3029,0.9,1,4,48,0.45
30,35.9377,81.1119,22.6058,11.3029,1,1,4,48,0.45
18,21.6,69.2736,23.9771,10.6565,0.6,0,4.5,48,0.45
21,21.6,72.2736,23.9771,10.6565,0.7,0,4.5,48,0.45
24,21.6,75.2736,23.9771,10.6565,0.8,0,4.5,48,0.45
27,21.6,78.2736,23.9771,10.6565,0.9,0,4.5,48,0.45
30,21.6,81.2736,23.9771,10.6565,1,0,4.5,48,0.45
18,22.1844,69.2736,23.9771,10.6565,0.6,0.25,4.5,48,0.45
21,22.9344,72.2736,23.9771,10.6565,0.7,0.25,4.5,48,0.45
24,23.6844,75.2736,23.9771,10.6565,0.8,0.25,4.5,48,0.45
27,24.4344,78.2736,23.9771,10.6565,0.9,0.25,4.5,48,0.45
30,25.1844,81.2736,23.9771,10.6565,1,0.25,4.5,48,0.45
18,22.7688,69.2736,23.9771,10.6565,0.6,0.5,4.5,48,0.45
21,24.2688,72.2736,23.9771,10.6565,0.7,0.5,4.5,48,0.45
24,25.7688,75.2736,23.9771,10.6565,0.8,0.5,4.5,48,0.45
27,27.2688,78.2736,23.9771,10.6565,0.9,0.5,4.5,48,0.45
30,28.7688,81.2736,23.9771,10.6565,1,0.5,4.5,48,0.45
18,23.3533,69.2736,23.9771,10.6565,0.6,0.75,4.5,48,0.45
21,25.6033,72.2736,23.9771,10.6565,0.7,0.75,4.5,48,0.45
24,27.8533,75.2736,23.9771,10.6565,0.8,0.75,4.5,48,0.45
27,30.1033,78.2736,23.9771,10.6565,0.9,0.75,4.5,48,0.45
30,32.3533,81.2736,23.9771,10.6565,1,0.75,4.5,48,0.45
18,23.9377,69.2736,23.9771,10.6565,0.6,1,4.5,48,0.45
21,26.9377,72.2736,23.9771,10.6565,0.7,1,4.5,48,0.45
24,29.9377,75.2736,23.9771,10.6565,0.8,1,4.5,48,0.45
27,32.9377,78.2736,23.9771,10.6565,0.9,1,4.5,48,0.45
30,35.9377,81.2736,23.9771,10.6565,1,1,4.5,48,0.45
18,21.6,69.4103,25.2741,10.1096,0.6,0,5,48,0.45
21,21.6,72.4103,25.2741,10.1096,0.7,0,5,48,0.45
24,21.6,75.4103,25.2741,10.1096,0.8,0,5,48,0.45
