leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
0.4572,0.5486,1.7554,0.5742,0.2871,0.6,0,4,1.2192,0.45
0.5334,0.5486,1.8316,0.5742,0.2871,0.7,0,4,1.2192,0.45
0.6096,0.5486,1.9078,0.5742,0.2871,0.8,0,4,1.2192,0.45
0.6858,0.5486,1.984,0.5742,0.2871,0.9,0,4,1.2192,0.45
0.762,0.5486,2.0602,0.5742,0.2871,1,0,4,1.2192,0.45
0.4572,0.5635,1.7554,0.5742,0.2871,0.6,0.25,4,1.2192,0.45
0.5334,0.5825,1.8316,0.5742,0.2871,0.7,0.25,4,1.2192,0.45
0.6096,0.6016,1.9078,0.5742,0.2871,0.8,0.25,4,1.2192,0.45
0.6858,0.6206,1.984,0.5742,0.2871,0.9,0.25,4,1.2192,0.45
0.762,0.6397,2.0602,0.5742,0.2871,1,0.25,4,1.2192,0.45
0.4572,0.5783,1.7554,0.5742,0.2871,0.6,0.5,4,1.2192,0.45
0.5334,0.6164,1.8316,0.5742,0.2871,0.7,0.5,4,1.2192,0.45
0.6096,0.6545,1.9078,0.5742,0.2871,0.8,0.5,4,1.2192,0.45
0.6858,0.6926,1.984,0.5742,0.2871,0.9,0.5,4,1.2192,0.45
0.762,0.7307,2.0602,0.5742,0.2871,1,0.5,4,1.2192,0.45
0.4572,0.5932,1.7554,0.5742,0.2871,0.6,0.75,4,1.2192,0.45
0.5334,0.6503,1.8316,0.5742,0.2871,0.7,0.75,4,1.2192,0.45
0.6096,0.7075,1.9078,0.5742,0.2871,0.8,0.75,4,1.2192,0.45
0.6858,0.7646,1.984,0.5742,0.2871,0.9,0.75,4,1.2192,0.45
0.762,0.8218,2.0602,0.5742,0.2871,1,0.75,4,1.2192,0.45
0.4572,0.608,1.7554,0.5742,0.2871,0.6,1,4,1.2192,0.45
0.5334,0.6842,1.8316,0.5742,0.2871,0.7,1,4,1.2192,0.45
0.6096,0.7604,1.9078,0.5742,0.2871,0.8,1,4,1.2192,0.45
0.6858,0.8366,1.984,0.5742,0.2871,0.9,1,4,1.2192,0.45
0.762,0.9128,2.0602,0.5742,0.2871,1,1,4,1.2192,0.45
0.4572,0.5486,1.7596,0.609,0.2707,0.6,0,4.5,1.2192,0.45
0.5334,0.5486,1.8358,0.609,0.2707,0.7,0,4.5,1.2192,0.45
0.6096,0.5486,1.912,0.609,0.2707,0.8,0,4.5,1.2192,0.45
0.6858,0.5486,1.9882,0.609,0.2707,0.9,0,4.5,1.2192,0.45
0.762,0.5486,2.0644,0.609,0.2707,1,0,4.5,1.2192,0.45
0.4572,0.5635,1.7596,0.609,0.2707,0.6,0.25,4.5,1.2192,0.45
0.5334,0.5825,1.8358,0.609,0.2707,0.7,0.25,4.5,1.2192,0.45
