sref,cref,tipChord,leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,taperRatio,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
2321.2612,23.8113,10.08,22.5,28.4528,75.9592,24.9362,9.9745,0.42,0.75,1,5,50,0.45
2321.2612,23.8113,10.08,22.8,28.7528,76.2592,24.9362,9.9745,0.42,0.76,1,5,50,0.45
2321.2612,23.8113,10.08,23.1,29.0528,76.5592,24.9362,9.9745,0.42,0.77,1,5,50,0.45
2321.2612,23.8113,10.08,23.4,29.3528,76.8592,24.9362,9.9745,0.42,0.78,1,5,50,0.45
2321.2612,23.8113,10.08,23.7,29.6528,77.1592,24.9362,9.9745,0.42,0.79,1,5,50,0.45
2321.2612,23.8113,10.08,24,29.9528,77.4592,24.9362,9.9745,0.42,0.8,1,5,50,0.45
2321.2612,23.8113,10.08,24.3,30.2528,77.7592,24.9362,9.9745,0.42,0.81,1,5,50,0.45
2321.2612,23.8113,10.08,24.6,30.5528,78.0592,24.9362,9.9745,0.42,0.82,1,5,50,0.45
2321.2612,23.8113,10.08,24.9,30.8528,78.3592,24.9362,9.9745,0.42,0.83,1,5,50,0.45
2321.2612,23.8113,10.08,25.2,31.1528,78.6592,24.9362,9.9745,0.42,0.84,1,5,50,0.45
2321.2612,23.8113,10.08,25.5,31.4528,78.9592,24.9362,9.9745,0.42,0.85,1,5,50,0.45
2321.2612,23.8113,10.08,22.5,28.4528,76.9838,24.6905,9.8762,0.42,0.75,1,5,51,0.45
2321.2612,23.8113,10.08,22.8,28.7528,77.2838,24.6905,9.8762,0.42,0.76,1,5,51,0.45
2321.2612,23.8113,10.08,23.1,29.0528,77.5838,24.6905,9.8762,0.42,0.77,1,5,51,0.45
2321.2612,23.8113,10.08,23.4,29.3528,77.8838,24.6905,9.8762,0.42,0.78,1,5,51,0.45
2321.2612,23.8113,10.08,23.7,29.6528,78.1838,24.6905,9.8762,0.42,0.79,1,5,51,0.45
2321.2612,23.8113,10.08,24,29.9528,78.4838,24.6905,9.8762,0.42,0.8,1,5,51,0.45
2321.2612,23.8113,10.08,24.3,30.2528,78.7838,24.6905,9.8762,0.42,0.81,1,5,51,0.45
2321.2612,23.8113,10.08,24.6,30.5528,79.0838,24.6905,9.8762,0.42,0.82,1,5,51,0.45
2321.2612,23.8113,10.08,24.9,30.8528,79.3838,24.6905,9.8762,0.42,0.83,1,5,51,0.45
2321.2612,23.8113,10.08,25.2,31.1528,79.6838,24.6905,9.8762,0.42,0.84,1,5,51,0.45
2321.2612,23.8113,10.08,25.5,31.4528,79.9838,24.6905,9.8762,0.42,0.85,1,5,51,0.45
2321.2612,23.8113,10.08,22.5,28.4528,78.0076,24.4519,9.7808,0.42,0.75,1,5,52,0.45
2321.2612,23.8113,10.08,22.8,28.7528,78.3076,24.4519,9.7808,0.42,0.76,1,5,52,0.45
2321.2612,23.8113,10.08,23.1,29.0528,78.6076,24.4519,9.7808,0.42,0.77,1,5,52,0.45
2321.2612,23.8113,10.08,23.4,29.3528,78.9076,24.4519,9.7808,0.42,0.78,1,5,52,0.45
2321.2612,23.8113,10.08,23.7,29.6528,79.2076,24.4519,9.7808,0.42,0.79,1,5,52,0.45
2321.2612,23.8113,10.08,24,29.9528,79.5076,24.4519,9.7808,0.42,0.8,1,5,52,0.45
2321.2612,23.8113,10.08,24.3,30.2528,79.8076,24.4519,9.7808,0.42,0.81,1,5,52,0.45
2321.2612,23.8113,10.08,24.6,30.5528,80.1076,24.4519,9.7808,0.42,0.82,1,5,52,0.45
2321.2612,23.8113,10.08,24.9,30.8528,80.4076,24.4519,9.7808,0.42,0.83,1,5,52,0.45
2321.2612,23.8113,10.08,25.2,31.1528,80.7076,24.4519,9.7808,0.42,0.84,1,5,52,0.45
2321.2612,23.8113,10.08,25.5,31.4528,81.0076,24.4519,9.7808,0.42,0.85,1,5,52,0.45
2321.2612,23.8113,10.08,22.5,28.4528,79.0308,24.2202,9.6881,0.42,0.75,1,5,53,0.45
2321.2612,23.8113,10.08,22.8,28.7528,79.3308,24.2202,9.6881,0.42,0.76,1,5,53,0.45
2321.2612,23.8113,10.08,23.1,29.0528,79.6308,24.2202,9.6881,0.42,0.77,1,5,53,0.45
2321.2612,23.8113,10.08,23.4,29.3528,79.9308,24.2202,9.6881,0.42,0.78,1,5,53,0.45
2321.2612,23.8113,10.08,23.7,29.6528,80.2308,24.2202,9.6881,0.42,0.79,1,5,53,0.45
2321.2612,23.8113,10.08,24,29.9528,80.5308,24.2202,9.6881,0.42,0.8,1,5,53,0.45
2321.2612,23.8113,10.08,24.3,30.2528,80.8308,24.2202,9.6881,0.42,0.81,1,5,53,0.45
2321.2612,23.8113,10.08,24.6,30.5528,81.1308,24.2202,9.6881,0.42,0.82,1,5,53,0.45
2321.2612,23.8113,10.08,24.9,30.8528,81.4308,24.2202,9.6881,0.42,0.83,1,5,53,0.45
2321.2612,23.8113,10.08,25.2,31.1528,81.7308,24.2202,9.6881,0.42,0.84,1,5,53,0.45
2321.2612,23.8113,10.08,25.5,31.4528,82.0308,24.2202,9.6881,0.42,0.85,1,5,53,0.45
2321.2612,23.8113,10.08,22.5,28.4528,80.0533,23.9949,9.5979,0.42,0.75,1,5,54,0.45
2321.2612,23.8113,10.08,22.8,28.7528,80.3533,23.9949,9.5979,0.42,0.76,1,5,54,0.45
2321.2612,23.8113,10.08,23.1,29.0528,80.6533,23.9949,9.5979,0.42,0.77,1,5,54,0.45
2321.2612,23.8113,10.08,23.4,29.3528,80.9533,23.9949,9.5979,0.42,0.78,1,5,54,0.45
2321.2612,23.8113,10.08,23.7,29.6528,81.2533,23.9949,9.5979,0.42,0.79,1,5,54,0.45
2321.2612,23.8113,10.08,24,29.9528,81.5533,23.9949,9.5979,0.42,0.8,1,5,54,0.45
2321.2612,23.8113,10.08,24.3,30.2528,81.8533,23.9949,9.5979,0.42,0.81,1,5,54,0.45
2321.2612,23.8113,10.08,24.6,30.5528,82.1533,23.9949,9.5979,0.42,0.82,1,5,54,0.45
2321.2612,23.8113,10.08,24.9,30.8528,82.4533,23.9949,9.5979,0.42,0.83,1,5,54,0.45
2321.2612,23.8113,10.08,25.2,31.1528,82.7533,23.9949,9.5979,0.42,0.84,1,5,54,0.45
2321.2612,23.8113,10.08,25.5,31.4528,83.0533,23.9949,9.5979,0.42,0.85,1,5,54,0.45
2321.2612,23.8113,10.08,22.5,28.4528,81.0753,23.7757,9.5103,0.42,0.75,1,5,55,0.45
2321.2612,23.8113,10.08,22.8,28.7528,81.3753,23.7757,9.5103,0.42,0.76,1,5,55,0.45
2321.2612,23.8113,10.08,23.1,29.0528,81.6753,23.7757,9.5103,0.42,0.77,1,5,55,0.45
2321.2612,23.8113,10.08,23.4,29.3528,81.9753,23.7757,9.5103,0.42,0.78,1,5,55,0.45
2321.2612,23.8113,10.08,23.7,29.6528,82.2753,23.7757,9.5103,0.42,0.79,1,5,55,0.45
2321.2612,23.8113,10.08,24,29.9528,82.5753,23.7757,9.5103,0.42,0.8,1,5,55,0.45
