sref,cref,tipChord,leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,taperRatio,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
1.4976,0.6048,0.256,0.5715,0.7227,1.9294,0.6334,0.2534,0.42,0.75,1,5,1.27,0.45
1.4976,0.6048,0.256,0.5791,0.7303,1.937,0.6334,0.2534,0.42,0.76,1,5,1.27,0.45
1.4976,0.6048,0.256,0.5867,0.7379,1.9446,0.6334,0.2534,0.42,0.77,1,5,1.27,0.45
1.4976,0.6048,0.256,0.5944,0.7456,1.9522,0.6334,0.2534,0.42,0.78,1,5,1.27,0.45
1.4976,0.6048,0.256,0.602,0.7532,1.9598,0.6334,0.2534,0.42,0.79,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6096,0.7608,1.9675,0.6334,0.2534,0.42,0.8,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6172,0.7684,1.9751,0.6334,0.2534,0.42,0.81,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6248,0.776,1.9827,0.6334,0.2534,0.42,0.82,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6325,0.7837,1.9903,0.6334,0.2534,0.42,0.83,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6401,0.7913,1.9979,0.6334,0.2534,0.42,0.84,1,5,1.27,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.0056,0.6334,0.2534,0.42,0.85,1,5,1.27,0.45
1.4976,0.6048,0.256,0.5715,0.7227,1.9554,0.6271,0.2509,0.42,0.75,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.5791,0.7303,1.963,0.6271,0.2509,0.42,0.76,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.5867,0.7379,1.9706,0.6271,0.2509,0.42,0.77,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.5944,0.7456,1.9783,0.6271,0.2509,0.42,0.78,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.602,0.7532,1.9859,0.6271,0.2509,0.42,0.79,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6096,0.7608,1.9935,0.6271,0.2509,0.42,0.8,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.0011,0.6271,0.2509,0.42,0.81,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.0087,0.6271,0.2509,0.42,0.82,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.0164,0.6271,0.2509,0.42,0.83,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.024,0.6271,0.2509,0.42,0.84,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.0316,0.6271,0.2509,0.42,0.85,1,5,1.2954,0.45
1.4976,0.6048,0.256,0.5715,0.7227,1.9814,0.6211,0.2484,0.42,0.75,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.5791,0.7303,1.989,0.6211,0.2484,0.42,0.76,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.5867,0.7379,1.9966,0.6211,0.2484,0.42,0.77,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.5944,0.7456,2.0043,0.6211,0.2484,0.42,0.78,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.602,0.7532,2.0119,0.6211,0.2484,0.42,0.79,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6096,0.7608,2.0195,0.6211,0.2484,0.42,0.8,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6172,0.7684,2.0271,0.6211,0.2484,0.42,0.81,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6248,0.776,2.0347,0.6211,0.2484,0.42,0.82,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6325,0.7837,2.0424,0.6211,0.2484,0.42,0.83,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6401,0.7913,2.05,0.6211,0.2484,0.42,0.84,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.6477,0.7989,2.0576,0.6211,0.2484,0.42,0.85,1,5,1.3208,0.45
1.4976,0.6048,0.256,0.5715,0.7227,2.0074,0.6152,0.2461,0.42,0.75,1,5,1.3462,0.45
