sref,cref,tipChord,leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,taperRatio,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
2295.0512,23.7507,9.6,18,23.9377,69.4103,25.2741,10.1096,0.4,0.6,1,5,48,0.45
2308.1562,23.7803,9.84,18,23.9451,69.4089,25.3619,10.1448,0.41,0.6,1,5,48,0.45
2321.2612,23.8113,10.08,18,23.9528,69.4078,25.4504,10.1802,0.42,0.6,1,5,48,0.45
2334.3662,23.8438,10.32,18,23.961,69.407,25.5395,10.2158,0.43,0.6,1,5,48,0.45
2347.4712,23.8777,10.56,18,23.9694,69.4065,25.6293,10.2517,0.44,0.6,1,5,48,0.45
2360.5762,23.9131,10.8,18,23.9783,69.4063,25.7198,10.2879,0.45,0.6,1,5,48,0.45
2373.6812,23.9498,11.04,18,23.9874,69.4064,25.8109,10.3243,0.46,0.6,1,5,48,0.45
2386.7862,23.9878,11.28,18,23.997,69.4067,25.9026,10.361,0.47,0.6,1,5,48,0.45
2399.8912,24.0272,11.52,18,24.0068,69.4073,25.9949,10.398,0.48,0.6,1,5,48,0.45
2412.9962,24.0679,11.76,18,24.017,69.4082,26.0878,10.4351,0.49,0.6,1,5,48,0.45
2426.1012,24.1099,12,18,24.0275,69.4093,26.1814,10.4726,0.5,0.6,1,5,48,0.45
2295.0512,23.7507,9.6,21,26.9377,72.4103,25.2741,10.1096,0.4,0.7,1,5,48,0.45
2308.1562,23.7803,9.84,21,26.9451,72.4089,25.3619,10.1448,0.41,0.7,1,5,48,0.45
2321.2612,23.8113,10.08,21,26.9528,72.4078,25.4504,10.1802,0.42,0.7,1,5,48,0.45
2334.3662,23.8438,10.32,21,26.961,72.407,25.5395,10.2158,0.43,0.7,1,5,48,0.45
2347.4712,23.8777,10.56,21,26.9694,72.4065,25.6293,10.2517,0.44,0.7,1,5,48,0.45
2360.5762,23.9131,10.8,21,26.9783,72.4063,25.7198,10.2879,0.45,0.7,1,5,48,0.45
2373.6812,23.9498,11.04,21,26.9874,72.4064,25.8109,10.3243,0.46,0.7,1,5,48,0.45
2386.7862,23.9878,11.28,21,26.997,72.4067,25.9026,10.361,0.47,0.7,1,5,48,0.45
2399.8912,24.0272,11.52,21,27.0068,72.4073,25.9949,10.398,0.48,0.7,1,5,48,0.45
2412.9962,24.0679,11.76,21,27.017,72.4082,26.0878,10.4351,0.49,0.7,1,5,48,0.45
2426.1012,24.1099,12,21,27.0275,72.4093,26.1814,10.4726,0.5,0.7,1,5,48,0.45
2295.0512,23.7507,9.6,24,29.9377,75.4103,25.2741,10.1096,0.4,0.8,1,5,48,0.45
2308.1562,23.7803,9.84,24,29.9451,75.4089,25.3619,10.1448,0.41,0.8,1,5,48,0.45
2321.2612,23.8113,10.08,24,29.9528,75.4078,25.4504,10.1802,0.42,0.8,1,5,48,0.45
2334.3662,23.8438,10.32,24,29.961,75.407,25.5395,10.2158,0.43,0.8,1,5,48,0.45
2347.4712,23.8777,10.56,24,29.9694,75.4065,25.6293,10.2517,0.44,0.8,1,5,48,0.45
2360.5762,23.9131,10.8,24,29.9783,75.4063,25.7198,10.2879,0.45,0.8,1,5,48,0.45
2373.6812,23.9498,11.04,24,29.9874,75.4064,25.8109,10.3243,0.46,0.8,1,5,48,0.45
2386.7862,23.9878,11.28,24,29.997,75.4067,25.9026,10.361,0.47,0.8,1,5,48,0.45
2399.8912,24.0272,11.52,24,30.0068,75.4073,25.9949,10.398,0.48,0.8,1,5,48,0.45
2412.9962,24.0679,11.76,24,30.017,75.4082,26.0878,10.4351,0.49,0.8,1,5,48,0.45
2426.1012,24.1099,12,24,30.0275,75.4093,26.1814,10.4726,0.5,0.8,1,5,48,0.45
2295.0512,23.7507,9.6,27,32.9377,78.4103,25.2741,10.1096,0.4,0.9,1,5,48,0.45
2308.1562,23.7803,9.84,27,32.9451,78.4089,25.3619,10.1448,0.41,0.9,1,5,48,0.45
2321.2612,23.8113,10.08,27,32.9528,78.4078,25.4504,10.1802,0.42,0.9,1,5,48,0.45
2334.3662,23.8438,10.32,27,32.961,78.407,25.5395,10.2158,0.43,0.9,1,5,48,0.45
