aileronStartY,aileronStartChord,aileronStartHinge,aileronEndHinge,totalAileronAreaStraight,totalAileronAreaConstant,aileronSpanPerWingspan,aileronChordPerWingChord
32.835,16.9284,0.5757,0.84,188.8727,95.3824,0.35,0.16
32.238,17.0806,0.5706,0.84,197.5399,98.631,0.36,0.16
31.641,17.2328,0.5655,0.84,206.3888,101.9086,0.37,0.16
31.044,17.385,0.5606,0.84,215.4194,105.2153,0.38,0.16
30.447,17.5372,0.5557,0.84,224.6317,108.551,0.39,0.16
29.85,17.6893,0.5509,0.84,234.0257,111.9158,0.4,0.16
29.253,17.8415,0.5462,0.84,243.6014,115.3098,0.41,0.16
28.656,17.9937,0.5416,0.84,253.3588,118.7327,0.42,0.16
28.059,18.1459,0.5371,0.84,263.298,122.1848,0.43,0.16
27.462,18.2981,0.5326,0.84,273.4188,125.6659,0.44,0.16
26.865,18.4503,0.5282,0.84,283.7214,129.1761,0.45,0.16
26.268,18.6025,0.5239,0.84,294.2056,132.7154,0.46,0.16
25.671,18.7546,0.5196,0.84,304.8716,136.2838,0.47,0.16
25.074,18.9068,0.5155,0.84,315.7193,139.8812,0.48,0.16
24.477,19.059,0.5113,0.84,326.7487,143.5077,0.49,0.16
23.88,19.2112,0.5073,0.84,337.9599,147.1633,0.5,0.16
32.835,16.9284,0.5688,0.83,193.7212,101.3438,0.35,0.17
32.238,17.0806,0.5638,0.83,202.5269,104.7954,0.36,0.17
31.641,17.2328,0.5588,0.83,211.5143,108.2779,0.37,0.17
31.044,17.385,0.5539,0.83,220.6834,111.7912,0.38,0.17
30.447,17.5372,0.5491,0.83,230.0342,115.3355,0.39,0.17
29.85,17.6893,0.5444,0.83,239.5667,118.9106,0.4,0.17
29.253,17.8415,0.5397,0.83,249.281,122.5166,0.41,0.17
28.656,17.9937,0.5352,0.83,259.1769,126.1535,0.42,0.17
28.059,18.1459,0.5307,0.83,269.2546,129.8213,0.43,0.17
27.462,18.2981,0.5263,0.83,279.514,133.52,0.44,0.17
26.865,18.4503,0.5219,0.83,289.9551,137.2496,0.45,0.17
26.268,18.6025,0.5176,0.83,300.5779,141.0101,0.46,0.17
25.671,18.7546,0.5134,0.83,311.3824,144.8015,0.47,0.17
25.074,18.9068,0.5093,0.83,322.3686,148.6238,0.48,0.17
24.477,19.059,0.5052,0.83,333.5365,152.4769,0.49,0.17
23.88,19.2112,0.5012,0.83,344.8862,156.361,0.5,0.17
32.835,16.9284,0.562,0.82,198.5696,107.3052,0.35,0.18
32.238,17.0806,0.557,0.82,207.5138,110.9598,0.36,0.18
31.641,17.2328,0.5521,0.82,216.6397,114.6471,0.37,0.18
31.044,17.385,0.5472,0.82,225.9474,118.3672,0.38,0.18
30.447,17.5372,0.5425,0.82,235.4367,122.1199,0.39,0.18
29.85,17.6893,0.5378,0.82,245.1078,125.9053,0.4,0.18
29.253,17.8415,0.5332,0.82,254.9605,129.7235,0.41,0.18
28.656,17.9937,0.5287,0.82,264.995,133.5743,0.42,0.18
28.059,18.1459,0.5243,0.82,275.2112,137.4579,0.43,0.18
27.462,18.2981,0.5199,0.82,285.6091,141.3742,0.44,0.18
26.865,18.4503,0.5156,0.82,296.1887,145.3231,0.45,0.18
26.268,18.6025,0.5114,0.82,306.9501,149.3048,0.46,0.18
25.671,18.7546,0.5073,0.82,317.8931,153.3192,0.47,0.18
25.074,18.9068,0.5032,0.82,329.0179,157.3663,0.48,0.18
24.477,19.059,0.4992,0.82,340.3243,161.4461,0.49,0.18
23.88,19.2112,0.4952,0.82,351.8125,165.5587,0.5,0.18
32.835,16.9284,0.5551,0.81,203.418,113.2666,0.35,0.19
32.238,17.0806,0.5502,0.81,212.5008,117.1243,0.36,0.19
31.641,17.2328,0.5453,0.81,221.7652,121.0164,0.37,0.19
31.044,17.385,0.5406,0.81,231.2114,124.9431,0.38,0.19
30.447,17.5372,0.5359,0.81,240.8392,128.9043,0.39,0.19
29.85,17.6893,0.5313,0.81,250.6488,132.9001,0.4,0.19
29.253,17.8415,0.5267,0.81,260.6401,136.9303,0.41,0.19
28.656,17.9937,0.5223,0.81,270.8131,140.9951,0.42,0.19
28.059,18.1459,0.5179,0.81,281.1679,145.0944,0.43,0.19
27.462,18.2981,0.5136,0.81,291.7043,149.2283,0.44,0.19
26.865,18.4503,0.5093,0.81,302.4224,153.3967,0.45,0.19
26.268,18.6025,0.5052,0.81,313.3223,157.5995,0.46,0.19
25.671,18.7546,0.5011,0.81,324.4038,161.837,0.47,0.19
25.074,18.9068,0.497,0.81,335.6671,166.1089,0.48,0.19
24.477,19.059,0.4931,0.81,347.1121,170.4154,0.49,0.19
