aileronStartX,aileronStartChord,aileronStartHinge,aileronEndHinge,totalAileronArea,aileronSpanPerWingspan,aileronChordPerWingChord
0.834,0.43,0.5757,0.84,0.1219,0.35,0.16
0.8188,0.4338,0.5706,0.84,0.1274,0.36,0.16
0.8037,0.4377,0.5655,0.84,0.1332,0.37,0.16
0.7885,0.4416,0.5606,0.84,0.139,0.38,0.16
0.7734,0.4454,0.5557,0.84,0.1449,0.39,0.16
0.7582,0.4493,0.5509,0.84,0.151,0.4,0.16
0.743,0.4532,0.5462,0.84,0.1572,0.41,0.16
0.7279,0.457,0.5416,0.84,0.1635,0.42,0.16
0.7127,0.4609,0.5371,0.84,0.1699,0.43,0.16
0.6975,0.4648,0.5326,0.84,0.1764,0.44,0.16
0.6824,0.4686,0.5282,0.84,0.183,0.45,0.16
0.6672,0.4725,0.5239,0.84,0.1898,0.46,0.16
0.652,0.4764,0.5196,0.84,0.1967,0.47,0.16
0.6369,0.4802,0.5155,0.84,0.2037,0.48,0.16
0.6217,0.4841,0.5113,0.84,0.2108,0.49,0.16
0.6066,0.488,0.5073,0.84,0.218,0.5,0.16
0.834,0.43,0.5688,0.83,0.125,0.35,0.17
0.8188,0.4338,0.5638,0.83,0.1307,0.36,0.17
0.8037,0.4377,0.5588,0.83,0.1365,0.37,0.17
0.7885,0.4416,0.5539,0.83,0.1424,0.38,0.17
0.7734,0.4454,0.5491,0.83,0.1484,0.39,0.17
0.7582,0.4493,0.5444,0.83,0.1546,0.4,0.17
0.743,0.4532,0.5397,0.83,0.1608,0.41,0.17
0.7279,0.457,0.5352,0.83,0.1672,0.42,0.17
0.7127,0.4609,0.5307,0.83,0.1737,0.43,0.17
0.6975,0.4648,0.5263,0.83,0.1803,0.44,0.17
0.6824,0.4686,0.5219,0.83,0.1871,0.45,0.17
0.6672,0.4725,0.5176,0.83,0.1939,0.46,0.17
0.652,0.4764,0.5134,0.83,0.2009,0.47,0.17
0.6369,0.4802,0.5093,0.83,0.208,0.48,0.17
0.6217,0.4841,0.5052,0.83,0.2152,0.49,0.17
0.6066,0.488,0.5012,0.83,0.2225,0.5,0.17
0.834,0.43,0.562,0.82,0.1281,0.35,0.18
0.8188,0.4338,0.557,0.82,0.1339,0.36,0.18
0.8037,0.4377,0.5521,0.82,0.1398,0.37,0.18
0.7885,0.4416,0.5472,0.82,0.1458,0.38,0.18
0.7734,0.4454,0.5425,0.82,0.1519,0.39,0.18
0.7582,0.4493,0.5378,0.82,0.1581,0.4,0.18
0.743,0.4532,0.5332,0.82,0.1645,0.41,0.18
0.7279,0.457,0.5287,0.82,0.171,0.42,0.18
0.7127,0.4609,0.5243,0.82,0.1776,0.43,0.18
0.6975,0.4648,0.5199,0.82,0.1843,0.44,0.18
0.6824,0.4686,0.5156,0.82,0.1911,0.45,0.18
0.6672,0.4725,0.5114,0.82,0.198,0.46,0.18
0.652,0.4764,0.5073,0.82,0.2051,0.47,0.18
0.6369,0.4802,0.5032,0.82,0.2123,0.48,0.18
0.6217,0.4841,0.4992,0.82,0.2196,0.49,0.18
0.6066,0.488,0.4952,0.82,0.227,0.5,0.18
0.834,0.43,0.5551,0.81,0.1312,0.35,0.19
0.8188,0.4338,0.5502,0.81,0.1371,0.36,0.19
0.8037,0.4377,0.5453,0.81,0.1431,0.37,0.19
