sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
0.0867,0.14,0.7112,0.2032,0.0406,0.1701,0.3556,0.2,20
0.0975,0.1575,0.7112,0.2286,0.0457,0.1751,0.3556,0.2,20
0.1084,0.175,0.7112,0.254,0.0508,0.1802,0.3556,0.2,20
0.1192,0.1925,0.7112,0.2794,0.0559,0.1853,0.3556,0.2,20
0.1301,0.21,0.7112,0.3048,0.061,0.1904,0.3556,0.2,20
0.0991,0.14,0.8128,0.2032,0.0406,0.1886,0.4064,0.2,20
0.1115,0.1575,0.8128,0.2286,0.0457,0.1936,0.4064,0.2,20
0.1239,0.175,0.8128,0.254,0.0508,0.1987,0.4064,0.2,20
0.1363,0.1925,0.8128,0.2794,0.0559,0.2038,0.4064,0.2,20
0.1486,0.21,0.8128,0.3048,0.061,0.2089,0.4064,0.2,20
0.1115,0.14,0.9144,0.2032,0.0406,0.207,0.4572,0.2,20
0.1254,0.1575,0.9144,0.2286,0.0457,0.2121,0.4572,0.2,20
0.1394,0.175,0.9144,0.254,0.0508,0.2172,0.4572,0.2,20
0.1533,0.1925,0.9144,0.2794,0.0559,0.2223,0.4572,0.2,20
0.1672,0.21,0.9144,0.3048,0.061,0.2274,0.4572,0.2,20
0.1012,0.1509,0.7112,0.2032,0.0813,0.1599,0.3556,0.4,20
0.1138,0.1698,0.7112,0.2286,0.0914,0.1637,0.3556,0.4,20
0.1265,0.1887,0.7112,0.254,0.1016,0.1675,0.3556,0.4,20
0.1391,0.2076,0.7112,0.2794,0.1118,0.1713,0.3556,0.4,20
0.1517,0.2264,0.7112,0.3048,0.1219,0.1751,0.3556,0.4,20
0.1156,0.1509,0.8128,0.2032,0.0813,0.1784,0.4064,0.4,20
0.1301,0.1698,0.8128,0.2286,0.0914,0.1822,0.4064,0.4,20
0.1445,0.1887,0.8128,0.254,0.1016,0.186,0.4064,0.4,20
0.159,0.2076,0.8128,0.2794,0.1118,0.1898,0.4064,0.4,20
0.1734,0.2264,0.8128,0.3048,0.1219,0.1936,0.4064,0.4,20
0.1301,0.1509,0.9144,0.2032,0.0813,0.1969,0.4572,0.4,20
0.1463,0.1698,0.9144,0.2286,0.0914,0.2007,0.4572,0.4,20
0.1626,0.1887,0.9144,0.254,0.1016,0.2045,0.4572,0.4,20
0.1788,0.2076,0.9144,0.2794,0.1118,0.2083,0.4572,0.4,20
0.1951,0.2264,0.9144,0.3048,0.1219,0.2121,0.4572,0.4,20
