sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
115.2,5.5111,24,8,1.6,1.6,12,0.2,0
129.6,6.2,24,9,1.8,1.8,12,0.2,0
144,6.8889,24,10,2,2,12,0.2,0
158.4,7.5778,24,11,2.2,2.2,12,0.2,0
172.8,8.2667,24,12,2.4,2.4,12,0.2,0
134.4,5.5111,28,8,1.6,1.6,14,0.2,0
151.2,6.2,28,9,1.8,1.8,14,0.2,0
168,6.8889,28,10,2,2,14,0.2,0
184.8,7.5778,28,11,2.2,2.2,14,0.2,0
201.6,8.2667,28,12,2.4,2.4,14,0.2,0
153.6,5.5111,32,8,1.6,1.6,16,0.2,0
172.8,6.2,32,9,1.8,1.8,16,0.2,0
192,6.8889,32,10,2,2,16,0.2,0
211.2,7.5778,32,11,2.2,2.2,16,0.2,0
230.4,8.2667,32,12,2.4,2.4,16,0.2,0
172.8,5.5111,36,8,1.6,1.6,18,0.2,0
194.4,6.2,36,9,1.8,1.8,18,0.2,0
216,6.8889,36,10,2,2,18,0.2,0
237.6,7.5778,36,11,2.2,2.2,18,0.2,0
259.2,8.2667,36,12,2.4,2.4,18,0.2,0
134.4,5.9429,24,8,3.2,1.2,12,0.4,0
151.2,6.6857,24,9,3.6,1.35,12,0.4,0
168,7.4286,24,10,4,1.5,12,0.4,0
184.8,8.1714,24,11,4.4,1.65,12,0.4,0
201.6,8.9143,24,12,4.8,1.8,12,0.4,0
156.8,5.9429,28,8,3.2,1.2,14,0.4,0
176.4,6.6857,28,9,3.6,1.35,14,0.4,0
196,7.4286,28,10,4,1.5,14,0.4,0
215.6,8.1714,28,11,4.4,1.65,14,0.4,0
235.2,8.9143,28,12,4.8,1.8,14,0.4,0
179.2,5.9429,32,8,3.2,1.2,16,0.4,0
201.6,6.6857,32,9,3.6,1.35,16,0.4,0
224,7.4286,32,10,4,1.5,16,0.4,0
246.4,8.1714,32,11,4.4,1.65,16,0.4,0
268.8,8.9143,32,12,4.8,1.8,16,0.4,0
201.6,5.9429,36,8,3.2,1.2,18,0.4,0
226.8,6.6857,36,9,3.6,1.35,18,0.4,0
252,7.4286,36,10,4,1.5,18,0.4,0
277.2,8.1714,36,11,4.4,1.65,18,0.4,0
302.4,8.9143,36,12,4.8,1.8,18,0.4,0
153.6,6.5333,24,8,4.8,0.8,12,0.6,0
172.8,7.35,24,9,5.4,0.9,12,0.6,0
