sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
0.0743,0.14,0.6096,0.2032,0.0406,0.0406,0.3048,0.2,0
0.0836,0.1575,0.6096,0.2286,0.0457,0.0457,0.3048,0.2,0
0.0929,0.175,0.6096,0.254,0.0508,0.0508,0.3048,0.2,0
0.1022,0.1925,0.6096,0.2794,0.0559,0.0559,0.3048,0.2,0
0.1115,0.21,0.6096,0.3048,0.061,0.061,0.3048,0.2,0
0.0867,0.14,0.7112,0.2032,0.0406,0.0406,0.3556,0.2,0
0.0975,0.1575,0.7112,0.2286,0.0457,0.0457,0.3556,0.2,0
0.1084,0.175,0.7112,0.254,0.0508,0.0508,0.3556,0.2,0
0.1192,0.1925,0.7112,0.2794,0.0559,0.0559,0.3556,0.2,0
0.1301,0.21,0.7112,0.3048,0.061,0.061,0.3556,0.2,0
0.0991,0.14,0.8128,0.2032,0.0406,0.0406,0.4064,0.2,0
0.1115,0.1575,0.8128,0.2286,0.0457,0.0457,0.4064,0.2,0
0.1239,0.175,0.8128,0.254,0.0508,0.0508,0.4064,0.2,0
0.1363,0.1925,0.8128,0.2794,0.0559,0.0559,0.4064,0.2,0
0.1486,0.21,0.8128,0.3048,0.061,0.061,0.4064,0.2,0
0.1115,0.14,0.9144,0.2032,0.0406,0.0406,0.4572,0.2,0
0.1254,0.1575,0.9144,0.2286,0.0457,0.0457,0.4572,0.2,0
0.1394,0.175,0.9144,0.254,0.0508,0.0508,0.4572,0.2,0
0.1533,0.1925,0.9144,0.2794,0.0559,0.0559,0.4572,0.2,0
0.1672,0.21,0.9144,0.3048,0.061,0.061,0.4572,0.2,0
0.0867,0.1509,0.6096,0.2032,0.0813,0.0305,0.3048,0.4,0
0.0975,0.1698,0.6096,0.2286,0.0914,0.0343,0.3048,0.4,0
0.1084,0.1887,0.6096,0.254,0.1016,0.0381,0.3048,0.4,0
0.1192,0.2076,0.6096,0.2794,0.1118,0.0419,0.3048,0.4,0
0.1301,0.2264,0.6096,0.3048,0.1219,0.0457,0.3048,0.4,0
0.1012,0.1509,0.7112,0.2032,0.0813,0.0305,0.3556,0.4,0
0.1138,0.1698,0.7112,0.2286,0.0914,0.0343,0.3556,0.4,0
0.1265,0.1887,0.7112,0.254,0.1016,0.0381,0.3556,0.4,0
0.1391,0.2076,0.7112,0.2794,0.1118,0.0419,0.3556,0.4,0
0.1517,0.2264,0.7112,0.3048,0.1219,0.0457,0.3556,0.4,0
0.1156,0.1509,0.8128,0.2032,0.0813,0.0305,0.4064,0.4,0
0.1301,0.1698,0.8128,0.2286,0.0914,0.0343,0.4064,0.4,0
0.1445,0.1887,0.8128,0.254,0.1016,0.0381,0.4064,0.4,0
0.159,0.2076,0.8128,0.2794,0.1118,0.0419,0.4064,0.4,0
0.1734,0.2264,0.8128,0.3048,0.1219,0.0457,0.4064,0.4,0
0.1301,0.1509,0.9144,0.2032,0.0813,0.0305,0.4572,0.4,0
0.1463,0.1698,0.9144,0.2286,0.0914,0.0343,0.4572,0.4,0
0.1626,0.1887,0.9144,0.254,0.1016,0.0381,0.4572,0.4,0
0.1788,0.2076,0.9144,0.2794,0.1118,0.0419,0.4572,0.4,0
0.1951,0.2264,0.9144,0.3048,0.1219,0.0457,0.4572,0.4,0
0.0991,0.1659,0.6096,0.2032,0.1219,0.0203,0.3048,0.6,0
0.1115,0.1867,0.6096,0.2286,0.1372,0.0229,0.3048,0.6,0
0.1239,0.2074,0.6096,0.254,0.1524,0.0254,0.3048,0.6,0
0.1363,0.2282,0.6096,0.2794,0.1676,0.0279,0.3048,0.6,0
0.1486,0.2489,0.6096,0.3048,0.1829,0.0305,0.3048,0.6,0
0.1156,0.1659,0.7112,0.2032,0.1219,0.0203,0.3556,0.6,0
0.1301,0.1867,0.7112,0.2286,0.1372,0.0229,0.3556,0.6,0
0.1445,0.2074,0.7112,0.254,0.1524,0.0254,0.3556,0.6,0
0.159,0.2282,0.7112,0.2794,0.1676,0.0279,0.3556,0.6,0
0.1734,0.2489,0.7112,0.3048,0.1829,0.0305,0.3556,0.6,0
0.1321,0.1659,0.8128,0.2032,0.1219,0.0203,0.4064,0.6,0
0.1486,0.1867,0.8128,0.2286,0.1372,0.0229,0.4064,0.6,0
0.1652,0.2074,0.8128,0.254,0.1524,0.0254,0.4064,0.6,0
0.1817,0.2282,0.8128,0.2794,0.1676,0.0279,0.4064,0.6,0
0.1982,0.2489,0.8128,0.3048,0.1829,0.0305,0.4064,0.6,0
0.1486,0.1659,0.9144,0.2032,0.1219,0.0203,0.4572,0.6,0
0.1672,0.1867,0.9144,0.2286,0.1372,0.0229,0.4572,0.6,0
0.1858,0.2074,0.9144,0.254,0.1524,0.0254,0.4572,0.6,0
0.2044,0.2282,0.9144,0.2794,0.1676,0.0279,0.4572,0.6,0
0.223,0.2489,0.9144,0.3048,0.1829,0.0305,0.4572,0.6,0
0.1115,0.1836,0.6096,0.2032,0.1626,0.0102,0.3048,0.8,0
0.1254,0.2066,0.6096,0.2286,0.1829,0.0114,0.3048,0.8,0
0.1394,0.2295,0.6096,0.254,0.2032,0.0127,0.3048,0.8,0
0.1533,0.2525,0.6096,0.2794,0.2235,0.014,0.3048,0.8,0
0.1672,0.2754,0.6096,0.3048,0.2438,0.0152,0.3048,0.8,0
0.1301,0.1836,0.7112,0.2032,0.1626,0.0102,0.3556,0.8,0
0.1463,0.2066,0.7112,0.2286,0.1829,0.0114,0.3556,0.8,0
0.1626,0.2295,0.7112,0.254,0.2032,0.0127,0.3556,0.8,0
0.1788,0.2525,0.7112,0.2794,0.2235,0.014,0.3556,0.8,0
0.1951,0.2754,0.7112,0.3048,0.2438,0.0152,0.3556,0.8,0
0.1486,0.1836,0.8128,0.2032,0.1626,0.0102,0.4064,0.8,0
0.1672,0.2066,0.8128,0.2286,0.1829,0.0114,0.4064,0.8,0
0.1858,0.2295,0.8128,0.254,0.2032,0.0127,0.4064,0.8,0
0.2044,0.2525,0.8128,0.2794,0.2235,0.014,0.4064,0.8,0
0.223,0.2754,0.8128,0.3048,0.2438,0.0152,0.4064,0.8,0
0.1672,0.1836,0.9144,0.2032,0.1626,0.0102,0.4572,0.8,0
0.1881,0.2066,0.9144,0.2286,0.1829,0.0114,0.4572,0.8,0
0.209,0.2295,0.9144,0.254,0.2032,0.0127,0.4572,0.8,0
0.2299,0.2525,0.9144,0.2794,0.2235,0.014,0.4572,0.8,0
0.2508,0.2754,0.9144,0.3048,0.2438,0.0152,0.4572,0.8,0
0.1239,0.2032,0.6096,0.2032,0.2032,0,0.3048,1,0
0.1394,0.2286,0.6096,0.2286,0.2286,0,0.3048,1,0
0.1548,0.254,0.6096,0.254,0.254,0,0.3048,1,0
0.1703,0.2794,0.6096,0.2794,0.2794,0,0.3048,1,0
0.1858,0.3048,0.6096,0.3048,0.3048,0,0.3048,1,0
0.1445,0.2032,0.7112,0.2032,0.2032,0,0.3556,1,0
0.1626,0.2286,0.7112,0.2286,0.2286,0,0.3556,1,0
0.1806,0.254,0.7112,0.254,0.254,0,0.3556,1,0
0.1987,0.2794,0.7112,0.2794,0.2794,0,0.3556,1,0
0.2168,0.3048,0.7112,0.3048,0.3048,0,0.3556,1,0
0.1652,0.2032,0.8128,0.2032,0.2032,0,0.4064,1,0
0.1858,0.2286,0.8128,0.2286,0.2286,0,0.4064,1,0
0.2065,0.254,0.8128,0.254,0.254,0,0.4064,1,0
0.2271,0.2794,0.8128,0.2794,0.2794,0,0.4064,1,0
