sref,cref,bref,tipChord,tipPositionX,tipPositionY,transitionEndChord,transitionEndPositionX,transitionEndPositionY,taperRatio,sweepAngle,transitionWidth
160,8,20,8,3.2757,10,8,0.182,1.5,1,20,0.5
168,8,21,8,3.4577,10.5,8,0.182,1.5,1,20,0.5
176,8,22,8,3.6397,11,8,0.182,1.5,1,20,0.5
184,8,23,8,3.8217,11.5,8,0.182,1.5,1,20,0.5
192,8,24,8,4.0037,12,8,0.182,1.5,1,20,0.5
200,8,25,8,4.1857,12.5,8,0.182,1.5,1,20,0.5
208,8,26,8,4.3676,13,8,0.182,1.5,1,20,0.5
216,8,27,8,4.5496,13.5,8,0.182,1.5,1,20,0.5
224,8,28,8,4.7316,14,8,0.182,1.5,1,20,0.5
232,8,29,8,4.9136,14.5,8,0.182,1.5,1,20,0.5
240,8,30,8,5.0956,15,8,0.182,1.5,1,20,0.5
145.6,7.3143,20,6.4,3.6757,10,7.9111,0.2042,1.5,0.8,20,0.5
152.8,7.3103,21,6.4,3.8577,10.5,7.9158,0.203,1.5,0.8,20,0.5
160,7.3067,22,6.4,4.0397,11,7.92,0.202,1.5,0.8,20,0.5
167.2,7.3033,23,6.4,4.2217,11.5,7.9238,0.201,1.5,0.8,20,0.5
174.4,7.3003,24,6.4,4.4037,12,7.9273,0.2002,1.5,0.8,20,0.5
181.6,7.2975,25,6.4,4.5857,12.5,7.9304,0.1994,1.5,0.8,20,0.5
188.8,7.2949,26,6.4,4.7676,13,7.9333,0.1987,1.5,0.8,20,0.5
196,7.2925,27,6.4,4.9496,13.5,7.936,0.198,1.5,0.8,20,0.5
203.2,7.2903,28,6.4,5.1316,14,7.9385,0.1974,1.5,0.8,20,0.5
210.4,7.2882,29,6.4,5.3136,14.5,7.9407,0.1968,1.5,0.8,20,0.5
217.6,7.2863,30,6.4,5.4956,15,7.9429,0.1963,1.5,0.8,20,0.5
131.2,6.7122,20,4.8,4.0757,10,7.8222,0.2264,1.5,0.6,20,0.5
137.6,6.7039,21,4.8,4.2577,10.5,7.8316,0.2241,1.5,0.6,20,0.5
144,6.6963,22,4.8,4.4397,11,7.84,0.222,1.5,0.6,20,0.5
150.4,6.6894,23,4.8,4.6217,11.5,7.8476,0.2201,1.5,0.6,20,0.5
156.8,6.683,24,4.8,4.8037,12,7.8545,0.2183,1.5,0.6,20,0.5
163.2,6.6771,25,4.8,4.9857,12.5,7.8609,0.2168,1.5,0.6,20,0.5
169.6,6.6717,26,4.8,5.1676,13,7.8667,0.2153,1.5,0.6,20,0.5
176,6.6667,27,4.8,5.3496,13.5,7.872,0.214,1.5,0.6,20,0.5
182.4,6.662,28,4.8,5.5316,14,7.8769,0.2128,1.5,0.6,20,0.5
188.8,6.6576,29,4.8,5.7136,14.5,7.8815,0.2116,1.5,0.6,20,0.5
195.2,6.6536,30,4.8,5.8956,15,7.8857,0.2106,1.5,0.6,20,0.5
116.8,6.2247,20,3.2,4.4757,10,7.7333,0.2487,1.5,0.4,20,0.5
122.4,6.2118,21,3.2,4.6577,10.5,7.7474,0.2451,1.5,0.4,20,0.5
128,6.2,22,3.2,4.8397,11,7.76,0.242,1.5,0.4,20,0.5
133.6,6.1892,23,3.2,5.0217,11.5,7.7714,0.2391,1.5,0.4,20,0.5
139.2,6.1793,24,3.2,5.2037,12,7.7818,0.2365,1.5,0.4,20,0.5
144.8,6.1702,25,3.2,5.3857,12.5,7.7913,0.2342,1.5,0.4,20,0.5
